url,date,country,reason_for_exclusion
https://japan.kantei.go.jp/101_kishida/statement/202409/17message.html,"September 17, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202409/19message.html,"September 19, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202409/21quad_cancer.html,"September 21, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202409/25message.html,"September 25, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202409/25srilanka_message.html,"September 25, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0036.html,"September 21, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/102_ishiba/statement/202410/1009kaiken2.html,"October 9, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/102_ishiba/statement/202410/1017kaiken.html,"October 17, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/102_ishiba/statement/202410/1029message.html,"October 29, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/104/statement/202512/index.html,"December 30, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/104/statement/202602/index.html,"February 17, 2026",japan,OUTSIDE_DATE_RANGE
https://japan.kantei.go.jp/102_ishiba/statement/202411/06message.html,"November 6, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202411/12message.html,"November 12, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202411/15message.html,"November 15, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/index.html,"November 27, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202412/04kaiken.html,"December 4, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202412/18message.html,"December 18, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202412/29message.html,"December 29, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202501/06message.html,"January 6, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202501/19message.html,"January 19, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202501/21message.html,"January 21, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202501/22message.html,"January 22, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202501/24kaiken.html,"January 24, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202502/02message.html,"February 2, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202502/04message.html,"February 4, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202502/14message.html,"February 14, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202502/25kaiken02.html,"February 25, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202503/0329message.html,"March 29, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202503/03message.html,"March 3, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202504/04kaiken.html,"April 4, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202504/21message.html,"April 21, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202504/21message2.html,"April 21, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202504/23message.html,"April 23, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202504/27kaiken.html,"April 27, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202505/07message.html,"May 7, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202505/08message.html,"May 8, 2025",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/103/statement/202505/17message.html,"May 17, 2025",japan,NOT_HISTORY_RELATED
